"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72505394728","2022-01-01","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  52.3","24","  49.5","24","1009.6","16","005.5","24","  6.5","24","  1.9","24","  7.0","999.9","  55.9"," ","  48.0"," "," 0.00","G","999.9","010000"
"72505394728","2022-01-02","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  53.2","24","  50.6","24","1002.9","13","998.0","24","  5.8","24","  4.1","24","  8.9"," 19.0","  59.0","*","  46.0","*"," 0.83","G","999.9","010000"
"72505394728","2022-01-03","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  32.0","24","  16.4","24","1018.0","20","012.7","24"," 10.0","24","  8.5","24"," 14.0"," 26.0","  39.9","*","  26.1","*"," 0.04","G","999.9","000000"
"72505394728","2022-01-04","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  25.3","24","   8.7","24","1027.2","24","022.1","24"," 10.0","24","  5.7","22","  9.9"," 18.1","  37.0"," ","  19.0"," "," 0.00","G","999.9","000000"
"72505394728","2022-01-05","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  37.5","24","  29.1","24","1018.3","18","012.4","24","  8.5","24","  4.2","23"," 12.0"," 20.0","  46.9"," ","  19.0"," "," 0.03","G","999.9","010000"
"72505394728","2022-01-06","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  38.7","24","  23.9","24","1009.8","24","004.9","24"," 10.0","24","  6.1","24","  9.9"," 18.1","  46.9"," ","  30.9"," "," 0.20","G","999.9","000000"
"72505394728","2022-01-07","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  31.1","24","  20.1","24","1011.9","17","005.9","24","  6.1","24","  6.9","24"," 11.1"," 22.9","  41.0"," ","  27.0"," "," 0.35","G","999.9","101000"
"72505394728","2022-01-08","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  25.2","24","   7.0","24","1030.1","24","025.0","24"," 10.0","24","  6.3","24"," 11.1"," 21.0","  34.0"," ","  19.9"," "," 0.03","G","  5.9","000000"
"72505394728","2022-01-09","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  34.0","24","  21.3","24","1027.4","21","021.1","24","  9.7","24","  6.2","20"," 12.0"," 19.0","  39.0"," ","  19.9"," "," 0.00","G","  3.1","010000"
"72505394728","2022-01-10","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  32.7","24","  17.6","24","1018.4","22","012.8","24","  9.3","24","  7.7","23"," 17.1"," 27.0","  39.9"," ","  27.0"," "," 0.10","G","  3.1","010000"
"72505394728","2022-01-11","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  19.6","24","   0.1","24","1028.9","24","023.7","24","  9.7","24","  7.2","21"," 12.0"," 22.0","  39.9"," ","  15.1"," "," 0.00","G","999.9","001000"
"72505394728","2022-01-12","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  27.9","24","   9.5","24","1025.0","24","019.9","24"," 10.0","24","  4.7","23"," 12.0"," 21.0","  39.9"," ","  15.1"," "," 0.00","G","999.9","000000"
"72505394728","2022-01-13","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  39.6","24","  24.2","24","1016.3","24","011.3","24","  9.8","24","  2.7","24","  7.0","999.9","  48.0","*","  35.1","*"," 0.00","G","999.9","000000"
"72505394728","2022-01-14","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  39.4","24","  29.6","24","1009.4","22","004.5","24"," 10.0","24","  6.4","24"," 13.0"," 22.9","  48.0"," ","  32.0"," "," 0.00","G","999.9","000000"
"72505394728","2022-01-15","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  18.2","24","   1.0","24","1021.2","24","016.1","24"," 10.0","24","  6.3","23","  9.9"," 20.0","  43.0"," ","  10.0"," "," 0.00","G","999.9","000000"
"72505394728","2022-01-16","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  17.3","24","   4.5","24","1027.3","23","022.1","24","  9.7","24","  6.7","24"," 14.0"," 20.0","  32.0"," ","  10.0"," "," 0.00","G","999.9","001000"
"72505394728","2022-01-17","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  37.5","24","  32.6","24"," 989.4","15","989.3","24","  6.1","24","  9.6","23"," 19.0"," 31.1","  44.1","*","  30.2","*"," 1.50","G","999.9","011000"
"72505394728","2022-01-18","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  33.5","24","  15.9","24","1006.3","24","001.3","24"," 10.0","24","  8.9","23"," 13.0"," 25.1","  44.1"," ","  30.0"," "," 0.03","G","999.9","000000"
