"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01366099999","2024-01-01","61.5666666","8.0","1413.0","SOGNEFJELL, NO","   9.2","24","   5.6","24","1012.9","24","844.7","24","999.9"," 0"," 12.6","24"," 19.4","999.9","  13.8"," ","   6.6"," "," 0.00","G","999.9","000000"
"01366099999","2024-01-02","61.5666666","8.0","1413.0","SOGNEFJELL, NO","   2.2","23","  -2.8","23","1014.0","23","843.4","23","999.9"," 0"," 16.0","23"," 27.2","999.9","   7.7"," ","  -2.7"," "," 0.00","G","999.9","000000"
"01366099999","2024-01-03","61.5666666","8.0","1413.0","SOGNEFJELL, NO","  -5.0","21"," -11.7","21","1012.0","21","839.3","21","999.9"," 0"," 13.6","21"," 25.3","999.9","  -0.4"," ","  -9.6"," "," 0.02","G","999.9","000000"
"01366099999","2024-01-04","61.5666666","8.0","1413.0","SOGNEFJELL, NO","  -9.0","24"," -16.3","24","1016.3","24","841.4","24","999.9"," 0","  2.8","24","  5.8","999.9","  -4.4"," "," -13.9"," "," 0.07","G","999.9","000000"
"01366099999","2024-01-05","61.5666666","8.0","1413.0","SOGNEFJELL, NO","   0.2","24"," -12.0","24","1017.1","24","845.2","24","999.9"," 0","  3.2","24"," 15.5","999.9","   7.5"," ","  -8.7"," "," 0.00","G","999.9","000000"
"01366099999","2024-01-06","61.5666666","8.0","1413.0","SOGNEFJELL, NO","   3.2","24","  -1.0","24","1026.2","24","853.8","24","999.9"," 0","  0.9","24","  1.9","999.9","  10.2"," ","   0.3"," "," 0.00","G","999.9","000000"
"01366099999","2024-01-07","61.5666666","8.0","1413.0","SOGNEFJELL, NO","   4.8","24","  -9.9","24","1036.5","24","862.9","24","999.9"," 0","  1.9","24","  3.9","999.9","  11.3"," ","  -0.9"," "," 0.00","G","999.9","000000"
"01366099999","2024-01-08","61.5666666","8.0","1413.0","SOGNEFJELL, NO","  15.8","24","  11.1","24","1041.1","24","870.4","24","999.9"," 0","  3.5","24","  7.8","999.9","  20.5"," ","   6.6"," "," 0.00","G","999.9","000000"
"01366099999","2024-01-09","61.5666666","8.0","1413.0","SOGNEFJELL, NO","  20.8","24","   6.9","24","1040.0","24","871.1","24","999.9"," 0","  4.0","24"," 11.7","999.9","  28.0"," ","  14.0"," "," 0.00","G","999.9","000000"
"01366099999","2024-01-10","61.5666666","8.0","1413.0","SOGNEFJELL, NO","  25.7","24","   9.3","24","1035.9","24","869.1","24","999.9"," 0","  7.3","24"," 13.6","999.9","  31.1"," ","  19.2"," "," 0.00","G","999.9","000000"
